Crop,Price
Amaranth,150
Ancient Fruit,550
Artichoke,160
Beet,100
Blue Jazz,50
Blueberry,50
Bok Choy,80
Cactus Fruit,75
Cauliflower,175
Coffee Bean,15
Corn,50
Cranberries,75
Eggplant,60
Fairy Rose,290
Garlic,60
Green Bean,40
Hops,25
Hot Pepper,40
Kale,110
Melon,250
Parsnip,35
Pineapple,300
Potato,80
Pumpkin,320
Radish,90
Red Cabbage,260
Rhubarb,220
Starfruit,750
Strawberry,120
Summer Spangle,90
Sunflower,80
Sweet Gem Berry,3000
Tomato,60
Taro Root,100
Tulip,30
Wheat,25
Yam,160